pop_rank,city,state,pop_estimate,census,pop_delta,pop_density__mi,pop_density__km2,land_area__mi,land_area__km2,latitude,longitude,location
242,Fairfield, California,116266,105321,0.1039,40.9,105.9,2806,1083,38.2593,-122.0321,Fairfield California
243,El Monte, California,116109,113475,0.0232,9.6,24.9,12063,4658,34.0746,-118.0291,El Monte California
244,Rochester, Minnesota,115733,106769,0.084,54.6,141.4,2088,806,44.0154,-92.4772,Rochester Minnesota
245,Clearwater, Florida,115513,107685,0.0727,25.9,67.1,4415,1705,27.9789,-82.7666,Clearwater Florida
246,Carlsbad, California,115330,105328,0.095,37.7,97.6,3023,1167,33.1239,-117.2828,Carlsbad California
247,Springfield, Illinois,114868,116250,,60.1,155.7,1925,743,39.7911,-89.6446,Springfield Illinois
248,Temecula, California,114327,100097,0.1422,37.3,96.6,3031,1170,33.4931,-117.1317,Temecula California
249,West Jordan, Utah,113905,103712,0.0983,32.3,83.7,3520,1360,40.6024,-112.0008,West Jordan Utah
250,Costa Mesa, California,113825,109960,0.0351,15.7,40.7,7186,2775,33.6659,-117.9123,Costa Mesa California
251,Miami Gardens, Florida,113750,107167,0.061399999999999996,18.2,47.1,6212,2398,25.9489,-80.2436,Miami Gardens Florida
252,Cambridge, Massachusetts,113630,105162,0.0805,6.4,16.6,17289,6675,42.3760,-71.1187,Cambridge Massachusetts
253,College Station, Texas,113564,93857,0.21,51.0,132.1,2199,849,30.5852,-96.2964,College Station Texas
254,Murrieta, California,113326,103466,0.0953,33.6,87.0,3324,1283,33.5721,-117.1904,Murrieta California
255,Downey, California,113092,111772,0.0118,12.4,32.1,9134,3527,33.9382,-118.1309,Downey California
256,Peoria, Illinois,112883,115007,,48.2,124.8,2371,915,40.7515,-89.6174,Peoria Illinois
257,Westminster, Colorado,112812,106114,0.06309999999999999,31.7,82.1,3592,1387,39.8822,-105.0644,Westminster Colorado
258,Elgin, Illinois,112456,108188,0.0394,37.4,96.9,2998,1158,42.0396,-88.3217,Elgin Illinois
259,Antioch, California,111674,102372,0.0909,29.4,76.1,3772,1456,37.9791,-121.7962,Antioch California
260,Palm Bay, Florida,111657,103190,0.0821,65.7,170.2,1676,647,27.9856,-80.6626,Palm Bay Florida
261,High Point, North Carolina,111513,104371,0.0684,55.2,143.0,2015,778,35.9900,-79.9905,High Point North Carolina
262,Lowell, Massachusetts,111346,106519,0.0453,13.6,35.2,8129,3139,42.6390,-71.3211,Lowell Massachusetts
263,Manchester, New Hampshire,111196,109565,0.0149,33.1,85.7,3339,1289,42.9849,-71.4441,Manchester New Hampshire
